timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784786482.6538959,train,1,188,5.089898109436035,,39,,3593.669832754821,0.00019904894850378765,2.8001837730407715
1784786482.703746,train,1,189,3.0423200130462646,,28,,2514.0009654654596,0.0001990272501275111,3.026409387588501
1784786482.753639,train,1,190,2.9393467903137207,,14,,1250.6606160220826,0.00019900530835413217,5.060602188110352
1784786482.804667,train,1,191,6.185970783233643,,112,,9143.666265140033,0.0001989831232436389,2.3634836673736572
1784786482.8553028,train,1,192,5.707673072814941,,27,,2277.007779156554,0.00019896069485668446,2.7798397541046143
1784786482.905695,train,1,193,4.522828102111816,,90,,7675.415217091545,0.0001989380232545872,1.8072916269302368
1784786482.955981,train,1,194,2.2969419956207275,,82,,6877.535830820078,0.00019891510849933053,2.5273287296295166
1784786483.0063202,train,1,195,2.3001797199249268,,25,,2076.067098124629,0.0001988919506535624,2.9471309185028076
1784786483.056585,train,1,196,2.8027849197387695,,44,,3650.1018963360993,0.00019886854978059553,2.601670742034912
1784786483.107244,train,1,197,2.3707220554351807,,11,,955.6284346991279,0.000198844905944407,6.119029998779297
1784786483.157464,train,1,198,3.518028497695923,,41,,3340.190228165128,0.00019882101920963812,1.778334617614746
1784786483.20795,train,1,199,2.393648147583008,,67,,5625.07183444572,0.00019879688964159436,2.861295223236084
1784786483.258231,train,1,200,2.802931547164917,,12,,1008.9544710030938,0.00019877251730624501,4.95253849029541
1784786483.445322,evaluation,1,200,3.952400081125426,52.06016563222536,813,10,,,
1784786483.5128992,train,1,201,5.026249408721924,,59,,5028.016276447859,0.00019874790227022312,1.664309024810791
1784786483.5630422,train,1,202,5.214585781097412,,91,,8183.943392276648,0.00019872304460082527,1.9514439105987549
1784786483.612949,train,1,203,4.243113994598389,,45,,4045.8377242009924,0.00019869794436601137,3.7941389083862305
1784786483.6628401,train,1,204,4.607903957366943,,21,,1806.4904614522507,0.00019867260163440448,4.549642086029053
1784786483.712926,train,1,205,2.03070330619812,,9,,794.5762576130296,0.00019864701647529068,6.162957191467285
1784786483.763138,train,1,206,3.3558337688446045,,97,,8403.361344152707,0.0001986211889586188,1.5289932489395142
